FULL NAME,TEAM,POS,AGE
Precious Achiuwa,Mia,F,21.66
Jaylen Adams,Mil,G,25.03
Steven Adams,Nor,C,27.83
Bam Adebayo,Mia,C-F,23.83
LaMarcus Aldridge,San,C-F,35.83
LaMarcus Aldridge,Bro,C-F,35.83
Ty-Shon Alexander,Pho,G,22.84
Nickeil Alexander-Walker,Nor,G,22.7
Grayson Allen,Mem,G,25.61
Jarrett Allen,Bro,C,23.07
Jarrett Allen,Cle,C,23.07
Al-Farouq Aminu,Orl,F,30.65
Al-Farouq Aminu,Chi,F,30.65
Kyle Anderson,Mem,F-G,27.66
Giannis Antetokounmpo,Mil,F,26.44
Kostas Antetokounmpo,Lal,F,23.49
Thanasis Antetokounmpo,Mil,F,28.83
Carmelo Anthony,Por,F,36.97
Cole Anthony,Orl,G,21
OG Anunoby,Tor,F,23.83
Ryan Arcidiacono,Chi,G,27.14
Trevor Ariza,Mia,F,35.88
D.J. Augustin,Mil,G,33.52
D.J. Augustin,Hou,G,33.52
Deni Avdija,Was,F,20.37
Deandre Ayton,Pho,C,22.82
Udoka Azubuike,Uta,C-F,21.66
Dwayne Bacon,Orl,G-F,25.71
Marvin Bagley III,Sac,F,22.18
LaMelo Ball,Cha,G,19.74
Lonzo Ball,Nor,G,23.55
Mo Bamba,Orl,C,23.01
Desmond Bane,Mem,G,22.89
Harrison Barnes,Sac,F,28.96
RJ Barrett,Nyk,F-G,20.92
Will Barton,Den,G,30.36
Keita Bates-Diop,San,F,25.31
Nicolas Batum,Lac,G-F,32.42
Aron Baynes,Tor,C-F,34.44
Kent Bazemore,Gol,G-F,31.88
Darius Bazley,Okc,F-G,20.93
Bradley Beal,Was,G,27.89
Malik Beasley,Min,G,24.47
Jordan Bell,Was,F,26.36
Jordan Bell,Gol,F,26.36
DeAndre' Bembry,Tor,G-F,26.87
Davis Bertans,Was,F,28.51
Patrick Beverley,Lac,G,32.84
Saddiq Bey,Det,F,22.1
Tyler Bey,Dal,F,23.26
Khem Birch,Orl,C,28.63
Khem Birch,Tor,C,28.63
Goga Bitadze,Ind,C-F,21.83
Bismack Biyombo,Cha,C,28.72
Nemanja Bjelica,Sac,F,33.02
Nemanja Bjelica,Mia,F,33.02
Eric Bledsoe,Nor,G,31.44
Keljin Blevins,Por,G,25.48
Bojan Bogdanovic,Uta,F,32.08
Bogdan Bogdanovic,Atl,G,28.74
Bol Bol,Den,C-F,21.5
Marques Bolden,Cle,C,23.08
Jordan Bone,Orl,G,23.53
Isaac Bonga,Was,G,21.52
Devin Booker,Pho,G,24.54
Chris Boucher,Tor,F-C,28.35
Brian Bowen II,Ind,F-G,22.62
Avery Bradley,Mia,G,30.47
Avery Bradley,Hou,G,30.47
Tony Bradley,Phi,C-F,23.35
Tony Bradley,Okc,C-F,23.35
Jarrell Brantley,Uta,F,24.94
Ignas Brazdeikis,Nyk,F,22.35
Ignas Brazdeikis,Phi,F,22.35
Ignas Brazdeikis,Orl,F,22.35
Miles Bridges,Cha,F,23.16
Mikal Bridges,Pho,F,24.71
Amida Brimah,Ind,C,27.26
Oshae Brissett,Ind,F-G,22.91
Malcolm Brogdon,Ind,G,28.43
Armoni Brooks,Hou,G,22.95
Dillon Brooks,Mem,G-F,25.32
Charlie Brown Jr.,Okc,G,23.29
Troy Brown Jr.,Was,G-F,21.8
Troy Brown Jr.,Chi,G-F,21.8
Bruce Brown,Bro,G-F,24.75
Jaylen Brown,Bos,G-F,24.56
Moses Brown,Okc,C,21.59
Sterling Brown,Hou,G-F,26.26
Jalen Brunson,Dal,G,24.71
Elijah Bryant,Mil,G,20
Thomas Bryant,Was,C-F,23.8
Reggie Bullock,Nyk,G-F,30.17
Trey Burke,Dal,G,28.51
Alec Burks,Nyk,G,29.83
Jimmy Butler,Mia,F,31.67
Bruno Caboclo,Hou,F,25.65
Devontae Cacok,Lal,F,24.6
Kentavious Caldwell-Pope,Lal,G,28.24
Facundo Campazzo,Den,G,30.15
Vlatko Cancar,Den,F,24.1
Devin Cannady,Orl,G,24.99
Clint Capela,Atl,C,27
Vernon Carey Jr.,Cha,F-C,20.22
Wendell Carter Jr.,Chi,C-F,22.09
Wendell Carter Jr.,Orl,C-F,22.09
Jevon Carter,Pho,G,25.67
Michael Carter-Williams,Orl,G,29.6
Alex Caruso,Lal,G,27.21
Willie Cauley-Stein,Dal,C,27.75
Chris Chiozza,Bro,G,25.49
Marquese Chriss,Gol,F,23.87
Brandon Clarke,Mem,F-G,24.66
Gary Clark,Orl,F,26.5
Gary Clark,Den,F,26.5
Gary Clark,Phi,F,26.5
Jordan Clarkson,Uta,G,28.94
Nicolas Claxton,Bro,F-C,22.08
Amir Coffey,Lac,G-F,23.92
John Collins,Atl,F-C,23.65
Mike Conley,Uta,G,33.6
Pat Connaughton,Mil,G,28.36
Quinn Cook,Lal,G,28.15
Quinn Cook,Cle,G,28.15
Tyler Cook,Bro,F,23.65
Tyler Cook,Det,F,23.65
DeMarcus Cousins,Hou,C,30.76
DeMarcus Cousins,Lac,C,30.76
Robert Covington,Por,F,30.42
Torrey Craig,Mil,F,30.41
Torrey Craig,Pho,F,30.41
Jae Crowder,Pho,F,30.86
Jarrett Culver,Min,G-F,22.24
Seth Curry,Phi,G,30.73
Stephen Curry,Gol,G,33.17
Nate Darling,Cha,G,22.71
Anthony Davis,Lal,F-C,28.18
Ed Davis,Min,C-F,31.95
Terence Davis,Tor,G,24
Terence Davis,Sac,G,24
Gabriel Deck,Okc,F,26.27
Dewayne Dedmon,Mia,C,31.76
Matthew Dellavedova,Cle,G,30.69
DeMar DeRozan,San,G-F,31.78
Mamadi Diakite,Mil,F,24.32
Hamidou Diallo,Okc,G,22.8
Hamidou Diallo,Det,G,22.8
Gorgui Dieng,Mem,C,31.33
Gorgui Dieng,San,C,31.33
Spencer Dinwiddie,Bro,G,28.11
Donte DiVincenzo,Mil,G,24.29
Luka Doncic,Dal,F-G,22.21
Luguentz Dort,Okc,G,22.08
Damyean Dotson,Cle,G,27.03
Devon Dotson,Chi,G,21.79
Sekou Doumbouya,Det,F,20.4
PJ Dozier,Den,G-F,24.56
Goran Dragic,Mia,G,35.03
Andre Drummond,Cle,C,27.77
Andre Drummond,Lal,C,27.77
Jared Dudley,Lal,F,35.85
Kris Dunn,Atl,G,27.16
Kevin Durant,Bro,F,32.63
Anthony Edwards,Min,G,19.78
Carsen Edwards,Bos,G,23.18
CJ Elleby,Por,F-G,20.92
Henry Ellenson,Tor,F-C,24.34
Wayne Ellington,Det,G,33.46
Joel Embiid,Phi,C-F,27.17
James Ennis III,Orl,F,30.88
Drew Eubanks,San,F-C,24.29
Dante Exum,Cle,G,25.84
Tacko Fall,Bos,C,25.43
Derrick Favors,Uta,F,29.84
Cristiano Felicio,Chi,F-C,28.86
Terrance Ferguson,Phi,G,23
Bruno Fernando,Atl,F-C,22.75
Yogi Ferrell,Cle,G,28.02
Yogi Ferrell,Lac,G,28.02
Dorian Finney-Smith,Dal,F,28.04
Malik Fitts,Lac,F,20
Malachi Flynn,Tor,G,23.02
Bryn Forbes,Mil,G,27.82
Trent Forrest,Uta,G,22.93
Evan Fournier,Orl,G-F,28.55
Evan Fournier,Bos,G-F,28.55
De'Aaron Fox,Sac,G,23.41
Robert Franks,Orl,F,20
Tim Frazier,Mem,G,30.54
Markelle Fultz,Orl,G,22.97
Wenyen Gabriel,Nor,F,24.14
Daniel Gafford,Chi,F-C,22.63
Daniel Gafford,Was,F-C,22.63
Danilo Gallinari,Atl,F,32.77
Langston Galloway,Pho,G,29.44
Darius Garland,Cle,G,21.3
Marc Gasol,Lal,C,36.3
Rudy Gay,San,F-G,34.75
Paul George,Lac,F,31.04
Taj Gibson,Nyk,F,35.9
Harry Giles III,Por,F-C,23.07
Shai Gilgeous-Alexander,Okc,G-F,22.85
Anthony Gill,Was,F,28.58
Freddie Gillespie,Tor,F,20
Rudy Gobert,Uta,C,28.89
Brandon Goodwin,Atl,G,25.62
Aaron Gordon,Orl,F,25.67
Aaron Gordon,Den,F,25.67
Eric Gordon,Hou,G,32.39
Devonte' Graham,Cha,G,26.23
Jerami Grant,Det,F,27.18
Danny Green,Phi,G,33.9
Draymond Green,Gol,F,31.2
JaMychal Green,Den,F-C,30.9
Javonte Green,Bos,G-F,27.82
Javonte Green,Chi,G-F,27.82
Jeff Green,Bro,F,34.72
Josh Green,Dal,G,20.5
Blake Griffin,Det,F,32.17
Blake Griffin,Bro,F,32.17
Kyle Guy,Sac,G,23.77
Rui Hachimura,Was,F,23.27
Ashton Hagans,Min,G-F,21.86
Tyrese Haliburton,Sac,G,21.21
Donta Hall,Orl,C,23.78
Josh Hall,Okc,F,20.6
R.J. Hampton,Den,G,20.27
R.J. Hampton,Orl,G,20.27
Tim Hardaway Jr.,Dal,G-F,29.17
James Harden,Hou,G,31.72
James Harden,Bro,G,31.72
Maurice Harkless,Mia,F-G,28.02
Maurice Harkless,Sac,F-G,28.02
Jared Harper,Nyk,G,23.67
Montrezl Harrell,Lal,F-C,27.3
Gary Harris,Den,G,26.67
Gary Harris,Orl,G,26.67
Jalen Harris,Tor,G,22.76
Joe Harris,Bro,G-F,29.69
Shaquille Harrison,Uta,G,27.61
Shaquille Harrison,Den,G,27.61
Tobias Harris,Phi,F,28.84
Isaiah Hartenstein,Den,C-F,23.03
Isaiah Hartenstein,Cle,C-F,23.03
Josh Hart,Nor,G,26.2
Udonis Haslem,Mia,F,40.94
Jaxson Hayes,Nor,C-F,20.98
Killian Hayes,Det,G,19.81
Gordon Hayward,Cha,F,31.15
Juancho Hernangomez,Min,F,25.63
Willy Hernangomez,Nor,C-F,26.97
Tyler Herro,Mia,G,21.32
Buddy Hield,Sac,G,28.41
George Hill,Okc,G,35.04
George Hill,Phi,G,35.04
Solomon Hill,Atl,F,30.16
Nate Hinton,Dal,G-F,21.94
Jaylen Hoard,Okc,F,22.13
Aaron Holiday,Ind,G,24.63
Jrue Holiday,Mil,G,30.93
Justin Holiday,Ind,F-G,32.12
Rondae Hollis-Jefferson,Por,F,26.37
Richaun Holmes,Sac,F,27.59
Rodney Hood,Por,G-F,28.57
Rodney Hood,Tor,G-F,28.57
Al Horford,Okc,C-F,34.95
Talen Horton-Tucker,Lal,G,20.47
Danuel House Jr.,Hou,F-G,27.94
Dwight Howard,Phi,C-F,35.44
Markus Howard,Den,G,22.21
Kevin Huerter,Atl,G-F,22.72
Elijah Hughes,Uta,G,23.19
De'Andre Hunter,Atl,F-G,23.46
Chandler Hutchison,Chi,F-G,25.06
Chandler Hutchison,Was,F-G,25.06
Serge Ibaka,Lac,F,31.66
Andre Iguodala,Mia,G-F,37.3
Ersan Ilyasova,Uta,F,34.01
Joe Ingles,Uta,F-G,33.62
Brandon Ingram,Nor,F,23.7
Kyrie Irving,Bro,G,29.15
Wes Iwundu,Dal,F,26.41
Wes Iwundu,Nor,F,26.41
Jaren Jackson Jr.,Mem,F-C,21.67
Frank Jackson,Det,G,23.04
Josh Jackson,Det,G-F,24.26
Justin Jackson,Okc,F,26.14
Justin Jackson,Mil,F,26.14
Reggie Jackson,Lac,G,31.09
Justin James,Sac,G-F,24.31
LeBron James,Lal,F,36.38
Mike James,Bro,G,30.75
DaQuan Jeffries,Sac,G-F,23.71
DaQuan Jeffries,Hou,G-F,23.71
Ty Jerome,Okc,G-F,23.86
Isaiah Joe,Phi,G,21.87
Alize Johnson,Bro,F,25.07
Cameron Johnson,Pho,F,25.2
James Johnson,Dal,F,34.24
James Johnson,Nor,F,34.24
Keldon Johnson,San,F-G,21.6
Stanley Johnson,Tor,F-G,24.97
Tyler Johnson,Bro,G,29.03
Nikola Jokic,Den,C,26.24
Derrick Jones Jr.,Por,F,24.25
Damian Jones,Pho,C,25.88
Damian Jones,Lal,C,25.88
Damian Jones,Sac,C,25.88
Mason Jones,Hou,G,22.82
Mason Jones,Phi,G,22.82
Tre Jones,San,G,21.35
Tyus Jones,Mem,G,25.02
DeAndre Jordan,Bro,C,32.82
Cory Joseph,Sac,G,29.74
Cory Joseph,Det,G,29.74
Mfiondu Kabengele,Lac,F-C,23.76
Mfiondu Kabengele,Cle,F-C,23.76
Frank Kaminsky,Pho,F-C,28.12
Enes Kanter,Por,C,28.99
Luke Kennard,Lac,G,24.89
Louis King,Sac,F,22.11
Maxi Kleber,Dal,F,29.3
Nathan Knight,Atl,F-C,23.66
Kevin Knox II,Nyk,F,21.77
John Konchar,Mem,G,25.15
Furkan Korkmaz,Phi,G-F,23.81
Luke Kornet,Chi,F-C,25.84
Luke Kornet,Bos,F-C,25.84
Rodions Kurucs,Bro,F,23.28
Rodions Kurucs,Hou,F,23.28
Rodions Kurucs,Mil,F,23.28
Kyle Kuzma,Lal,F,25.81
Anthony Lamb,Hou,F,23.32
Jeremy Lamb,Ind,G-F,28.96
Romeo Langford,Bos,G-F,21.56
Zach LaVine,Chi,G-F,26.19
Jake Layman,Min,F,27.2
T.J. Leaf,Por,F,24.05
Jalen Lecque,Ind,G,20.92
Damion Lee,Gol,G-F,28.57
Saben Lee,Det,G,21.9
Alex Len,Tor,C,27.92
Alex Len,Was,C,27.92
Kawhi Leonard,Lac,F,29.88
Meyers Leonard,Mia,F-C,29.22
Caris LeVert,Bro,G,26.73
Caris LeVert,Ind,G,26.73
Kira Lewis Jr.,Nor,G,20.11
Damian Lillard,Por,G,30.84
Nassir Little,Por,F-G,21.26
Kevon Looney,Gol,F,25.27
Brook Lopez,Mil,C,33.12
Robin Lopez,Was,C,33.12
Marcos Louzada Silva,Nor,G,20
Kevin Love,Cle,F-C,32.69
Kyle Lowry,Tor,G,35.15
Timothe Luwawu-Cabarrot,Bro,G-F,26.02
Trey Lyles,San,F,25.53
Will Magnay,Nor,C,22.93
Thon Maker,Cle,F-C,20
Theo Maledon,Okc,G,19.93
Karim Mane,Orl,G,21
Nico Mannion,Gol,G,20.18
Terance Mann,Lac,G-F,24.58
Boban Marjanovic,Dal,C,32.75
Lauri Markkanen,Chi,F-C,23.99
Naji Marshall,Nor,F,23.31
Kenyon Martin Jr.,Hou,F,20.36
Caleb Martin,Cha,F,25.63
Cody Martin,Cha,F,25.63
Jeremiah Martin,Cle,G,24.91
Kelan Martin,Ind,F,25.79
Frank Mason,Orl,G,27.12
Garrison Mathews,Was,G,24.56
Dakota Mathias,Phi,G,25.85
Wesley Matthews,Lal,G,34.59
Tyrese Maxey,Phi,G,20.53
Skylar Mays,Atl,G,23.7
Patrick McCaw,Tor,G,25.56
CJ McCollum,Por,G,29.66
T.J. McConnell,Ind,G,29.14
Jalen McDaniels,Cha,F-C,23.29
Jaden McDaniels,Min,F,20.63
Doug McDermott,Ind,F,29.37
Sean McDermott,Mem,F,24.53
JaVale McGee,Cle,C-F,33.32
JaVale McGee,Den,C-F,33.32
Rodney McGruder,Det,G,29.8
Alfonzo McKinnie,Lal,F,28.66
Jordan McLaughlin,Min,G,25.1
Ben McLemore,Hou,G,28.26
Ben McLemore,Lal,G,28.26
Nicolo Melli,Nor,F,30.3
Nicolo Melli,Dal,F,30.3
De'Anthony Melton,Mem,G,22.97
Sam Merrill,Mil,G,25
Chimezie Metu,Sac,F-C,24.15
Khris Middleton,Mil,F,29.76
Darius Miller,Okc,F,31.16
Paul Millsap,Den,F,36.26
Patty Mills,San,G,32.76
Shake Milton,Phi,G-F,24.64
Donovan Mitchell,Uta,G,24.69
Adam Mokoka,Chi,G,22.83
Malik Monk,Cha,G,23.28
E'Twaun Moore,Pho,G,32.22
Ja Morant,Mem,G,21.77
Juwan Morgan,Uta,F,24.08
Marcus Morris Sr.,Lac,F,31.7
Markieff Morris,Lal,F,31.7
Monte Morris,Den,G,25.89
Mychal Mulder,Gol,G,26.93
Dejounte Murray,San,G,24.66
Jamal Murray,Den,G,24.23
Mike Muscala,Okc,F-C,29.88
Svi Mykhailiuk,Det,G-F,23.93
Svi Mykhailiuk,Okc,G-F,23.93
Abdel Nader,Pho,F,27.64
Larry Nance Jr.,Cle,F-C,28.37
Aaron Nesmith,Bos,G-F,21.58
Raul Neto,Was,G,28.99
Georges Niang,Uta,F,27.92
Zeke Nnaji,Den,F-C,20.35
Nerlens Noel,Nyk,C-F,27.1
Jaylen Nowell,Min,G,21.86
Frank Ntilikina,Nyk,G,22.8
James Nunnally,Nor,F,30.84
Kendrick Nunn,Mia,G,25.79
Jusuf Nurkic,Por,C,26.73
David Nwaba,Hou,G-F,28.34
Jordan Nwora,Mil,F,22.69
Semi Ojeleye,Bos,F,26.45
Jahlil Okafor,Det,C-F,25.42
Chuma Okeke,Orl,F,22.75
Josh Okogie,Min,G,22.71
Onyeka Okongwu,Atl,F-C,20.43
Isaac Okoro,Cle,F-G,20.3
KZ Okpala,Mia,F-G,22.05
Victor Oladipo,Ind,G,29.03
Victor Oladipo,Hou,G,29.03
Victor Oladipo,Mia,G,29.03
Cameron Oliver,Hou,F,20
Kelly Olynyk,Mia,F-C,30.08
Kelly Olynyk,Hou,F-C,30.08
Royce O'Neale,Uta,F,27.95
Miye Oni,Uta,G-F,23.78
Cedi Osman,Cle,F,26.11
Daniel Oturu,Lac,C,21.66
Kelly Oubre Jr.,Gol,F-G,25.44
Jabari Parker,Sac,F,26.17
Jabari Parker,Bos,F,26.17
Eric Paschall,Gol,F,24.53
Anzejs Pasecniks,Was,C-F,25.41
Patrick Patterson,Lac,F,32.18
Justin Patton,Hou,C,23.92
Chris Paul,Pho,G,36.03
Cameron Payne,Pho,G,26.77
Gary Payton II,Gol,G,28.46
Elfrid Payton,Nyk,G,27.23
Norvel Pelle,Bro,C,28.28
Norvel Pelle,Sac,C,28.28
Norvel Pelle,Nyk,C,28.28
Reggie Perry,Bro,F-C,21.15
Theo Pinson,Nyk,G-F,25.53
Mason Plumlee,Det,F-C,31.2
Jakob Poeltl,San,C,25.59
Vincent Poirier,Phi,C-F,27.58
Aleksej Pokusevski,Okc,C,19.39
Jordan Poole,Gol,G,21.91
Kevin Porter Jr.,Hou,G-F,21.03
Michael Porter Jr.,Den,F,22.88
Otto Porter Jr.,Chi,F,27.95
Otto Porter Jr.,Orl,F,27.95
Jontay Porter,Mem,C-F,21.5
Bobby Portis,Mil,F,26.26
Kristaps Porzingis,Dal,F-C,25.79
Dwight Powell,Dal,F-C,29.83
Norman Powell,Tor,G,27.98
Norman Powell,Por,G,27.98
Taurean Prince,Bro,F,27.15
Taurean Prince,Cle,G,27.15
Payton Pritchard,Bos,G,23.3
Immanuel Quickley,Nyk,G,21.92
Jahmi'us Ramsey,Sac,G,19.94
Chasson Randle,Orl,G,28.28
Julius Randle,Nyk,F-C,26.46
Cam Reddish,Atl,F-G,21.71
JJ Redick,Nor,G,36.89
JJ Redick,Dal,G,36.89
Paul Reed,Phi,F,21.92
Naz Reid,Min,C-F,21.72
Cameron Reynolds,San,F,26.27
Cameron Reynolds,Hou,F,26.27
Nick Richards,Cha,C,23.46
Josh Richardson,Dal,G,27.67
Grant Riller,Cha,G,24.27
Austin Rivers,Nyk,G,28.79
Austin Rivers,Den,G,28.79
Andre Roberson,Bro,G-F,29.45
Glenn Robinson III,Sac,F,27.35
Duncan Robinson,Mia,F,27.07
Jerome Robinson,Was,G,24.23
Justin Robinson,Okc,G,23.6
Mitchell Robinson,Nyk,C-F,23.13
Isaiah Roby,Okc,F,23.28
Rajon Rondo,Atl,G,35.23
Rajon Rondo,Lac,G,35.23
Derrick Rose,Det,G,32.61
Derrick Rose,Nyk,G,32.61
Terrence Ross,Orl,G-F,30.28
Terry Rozier,Cha,G,27.17
Ricky Rubio,Min,G,30.57
D'Angelo Russell,Min,G,25.23
Domantas Sabonis,Ind,F-C,25.04
Luka Samanic,San,F,21.35
JaKarr Sampson,Ind,F,28.16
Dario Saric,Pho,F-C,27.11
Tomas Satoransky,Chi,G,29.55
Dennis Schroder,Lal,G,27.67
Mike Scott,Phi,F,32.83
Jay Scrubb,Lac,G,20.71
Collin Sexton,Cle,G,22.36
Landry Shamet,Bro,G,24.18
Iman Shumpert,Bro,G,30.89
Pascal Siakam,Tor,F,27.12
Chris Silva,Mia,F,24.66
Chris Silva,Sac,F,24.66
Ben Simmons,Phi,G-F,24.82
Anfernee Simons,Por,G,21.94
Deividas Sirvydis,Det,F-G,20.93
Alen Smailagic,Gol,F,20.74
Marcus Smart,Bos,G,27.2
Dennis Smith Jr.,Nyk,G,23.47
Dennis Smith Jr.,Det,G,23.47
Ish Smith,Was,G,32.86
Jalen Smith,Pho,F-C,21.17
Tony Snell,Atl,G,29.52
Ray Spalding,Hou,F,24.18
Cassius Stanley,Ind,G,21.75
Lamar Stevens,Cle,F,23.86
Isaiah Stewart,Det,F-C,19.99
Max Strus,Mia,G-F,25.13
Edmond Sumner,Ind,G,25.38
Jae'Sean Tate,Hou,F,25.55
Jayson Tatum,Bos,F-G,23.21
Jeff Teague,Bos,G,32.93
Jeff Teague,Mil,G,32.93
Garrett Temple,Chi,G-F,35.03
Tyrell Terry,Dal,G,20.63
Daniel Theis,Bos,F-C,29.12
Daniel Theis,Chi,F,29.12
Brodric Thomas,Hou,G,24.3
Brodric Thomas,Cle,G,24.3
Isaiah Thomas,Nor,G,32.27
Khyri Thomas,Hou,G,25.02
Matt Thomas,Tor,G,26.78
Matt Thomas,Uta,G,26.78
Tristan Thompson,Bos,C-F,30.18
Sindarius Thornwell,Nor,G,26.5
Sindarius Thornwell,Orl,G,26.5
Matisse Thybulle,Phi,G-F,24.2
Killian Tillie,Mem,F-C,23.2
Xavier Tillman,Mem,F,22.34
Anthony Tolliver,Phi,F,35.96
Obi Toppin,Nyk,F,23.2
Juan Toscano-Anderson,Gol,F,28.1
Axel Toupane,Mil,G-F,20
Karl-Anthony Towns,Min,C-F,25.5
Gary Trent Jr.,Por,G-F,22.33
Gary Trent Jr.,Tor,G-F,22.33
P.J. Tucker,Hou,F,36.03
P.J. Tucker,Mil,F,36.03
Rayjon Tucker,Phi,G,23.64
Myles Turner,Ind,C-F,25.15
Jonas Valanciunas,Mem,C,29.03
Denzel Valentine,Chi,G,27.5
Jarred Vanderbilt,Min,F,22.12
Fred VanVleet,Tor,G,27.22
Anderson Varejao,Cle,F,38.63
Devin Vassell,San,G-F,20.73
Gabe Vincent,Mia,G,24.92
Noah Vonleh,Bro,F,25.73
Nikola Vucevic,Orl,C,30.56
Nikola Vucevic,Chi,C,30.56
Dean Wade,Cle,F-C,24.49
Moritz Wagner,Was,F-C,24.06
Moritz Wagner,Bos,F-C,24.06
Moritz Wagner,Orl,F-C,24.06
Lonnie Walker IV,San,G-F,22.42
Kemba Walker,Bos,G,31.03
John Wall,Hou,G,30.69
Brad Wanamaker,Gol,G,31.81
Brad Wanamaker,Cha,G,31.81
T.J. Warren,Ind,F,27.7
P.J. Washington,Cha,F,22.73
Yuta Watanabe,Tor,G-F,26.59
Tremont Waters,Bos,G,23.35
Paul Watson,Tor,G,26.38
Quinndary Weatherspoon,San,G,24.68
Russell Westbrook,Was,G,32.51
Coby White,Chi,G,21.25
Derrick White,San,G,26.87
Hassan Whiteside,Sac,C,31.93
Greg Whittington,Den,F,28.27
Andrew Wiggins,Gol,F,26.23
Robert Williams III,Bos,C-F,23.58
Grant Williams,Bos,F,22.46
Kenrich Williams,Okc,G-F,26.46
Lou Williams,Lac,G,34.55
Lou Williams,Atl,G,34.55
Zion Williamson,Nor,F,20.86
Patrick Williams,Chi,F,19.72
D.J. Wilson,Mil,F,25.24
D.J. Wilson,Hou,F-C,25.24
Dylan Windler,Cle,G-F,24.65
Justise Winslow,Mem,F-G,25.14
Cassius Winston,Was,G,23.21
James Wiseman,Gol,C,20.13
Robert Woodard II,Sac,F,21.65
Christian Wood,Hou,F,25.64
Delon Wright,Det,G,29.06
Delon Wright,Sac,G,29.06
Thaddeus Young,Chi,F,32.9
Trae Young,Atl,G,22.66
Cody Zeller,Cha,F-C,28.61
Ivica Zubac,Lac,C,24.16